Crop,Rainfall (mm),Temperature (Â°C),Yield (kg)
Wheat,202,25,2791
Barley,192,30,3136
Corn,114,22,2198
Corn,206,20,3660
Oats,171,22,1501
Corn,120,24,2141
Corn,202,34,3767
Corn,221,33,3089
Rice,174,22,2354
Oats,187,20,3259
Wheat,216,24,3932
Barley,199,29,3161
Wheat,203,26,2653
Oats,230,34,2576
Barley,249,33,3207
Oats,152,26,3195
Corn,101,30,3233
Barley,187,28,2939
Corn,137,34,3794
Wheat,229,34,2335
Wheat,120,29,1702
Barley,157,29,1622
Barley,121,31,1900
Oats,188,32,2266
Oats,148,22,1793
Corn,158,34,3827
Barley,114,26,1697
Wheat,150,20,3430
Oats,207,23,3691
Oats,154,32,2108
Wheat,163,23,2647
Oats,230,33,1686
Corn,150,24,3294
Barley,234,26,2159
Wheat,120,26,3455
Barley,172,32,3950
Oats,117,34,2869
Oats,231,30,3486
Wheat,188,32,3034
Corn,159,23,1646
Rice,113,32,3234
Wheat,108,26,3343
Rice,189,30,1988
Rice,152,22,3459
Corn,229,25,3163
Rice,183,31,3885
Rice,191,21,2140
Corn,210,29,3302
Rice,107,32,3469
Rice,134,33,3698
Rice,180,28,2938
Wheat,149,24,3134
Wheat,203,25,1762
Wheat,231,31,3287
Corn,101,31,3691
Oats,233,31,3893
Rice,153,31,2123
Rice,205,23,2516
Corn,103,33,2380
Rice,153,33,3549
Wheat,245,30,2827
Oats,143,29,3801
Barley,113,26,1952
Rice,194,31,2683
Wheat,147,28,3556
Barley,114,26,3182
Oats,139,33,3755
Barley,181,20,2654
Wheat,210,20,1903
Barley,152,28,3699
Corn,123,30,3601
Barley,223,33,3196
Rice,140,28,2127
Rice,114,23,2086
Corn,144,32,3148
Wheat,164,28,2943
Rice,188,22,2945
Oats,170,26,1603
Rice,108,25,1753
Rice,187,27,2996
Wheat,228,30,1598
Barley,235,28,3700
Rice,162,33,3384
Corn,238,24,3419
Barley,180,20,2377
Oats,235,22,1837
Wheat,132,29,2456
Oats,222,31,3204
Barley,104,27,1660
Barley,140,34,3103
Barley,127,30,1897
Oats,234,25,2800
Barley,171,27,2315
Oats,111,28,3027
Barley,132,23,3419
Corn,147,20,2915
Barley,161,33,2658
Oats,136,20,2718
Rice,198,29,1900
Barley,203,23,2139
